CAMR:IN20:186:R_DIST,Pulse_length,FBCK:BCI0:1:CHRG_S,SOLN:IN20:121:BACT,QUAD:IN20:121:BACT,QUAD:IN20:122:BACT,ACCL:IN20:300:L0A_ADES,ACCL:IN20:300:L0A_PDES,ACCL:IN20:400:L0B_ADES,ACCL:IN20:400:L0B_PDES,QUAD:IN20:361:BACT,QUAD:IN20:371:BACT,QUAD:IN20:425:BACT,QUAD:IN20:441:BACT,QUAD:IN20:511:BACT,QUAD:IN20:525:BACT,OTRS:IN20:621:XRMS,OTRS:IN20:621:YRMS
423.867825,1.8550514181818183,0.25,0.47533333333333333,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,84.63323863314997,77.60479634309013
423.867825,1.8550514181818183,0.25,0.4766666666666666,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,96.62319562520382,72.60127972129726
423.867825,1.8550514181818183,0.25,0.478,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,122.9406716521788,78.83048646563671
423.867825,1.8550514181818183,0.25,0.47933333333333333,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,170.81650449945343,88.56562021276399
423.867825,1.8550514181818183,0.25,0.48066666666666663,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,217.85012460410854,112.82849044618848
423.867825,1.8550514181818183,0.25,0.482,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7046297,267.7450738986005,152.52481165433167
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-3.5,88.5972351444681,116.90657174734496
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-3.3222222222222224,88.26293486448006,104.86594017524557
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-3.1444444444444444,89.31778634366522,87.75463616103598
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.966666666666667,87.39593288807544,84.7906603355938
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.7888888888888888,90.00114980867383,77.16973396028301
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.611111111111111,88.6738232597949,70.0070859663899
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.4333333333333336,107.67098115312821,71.75733664623857
423.867825,1.8550514181818183,0.25,0.476,0.0144,0.011785,58.0,-9.53597349,70.0,9.85566222,-3.3918831,2.7223251,-2.1743071,-0.0156106,2.8486521,-2.2555555555555555,115.80629839263415,72.58277307008402
